"filename", "language", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CHANGELOG.md", "Markdown", 0, 7, 0, 2, 9
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\URL-CHANGE-BUG-FIX.md", "Markdown", 0, 106, 0, 38, 144
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\App.js", "JavaScript", 8, 0, 3, 4, 15
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\ResponseDetails.js", "JavaScript", 19, 0, 4, 4, 27
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\services\data-fetching-service.js", "JavaScript", -8, 0, -11, -1, -20
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\store.js", "JavaScript", 20, 0, -3, 8, 25
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\message-controller.js", "JavaScript", 43, 0, 15, 10, 68
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\navigation-controller.js", "JavaScript", 21, 0, 12, 4, 37
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\seo-data-controller.js", "JavaScript", 23, 0, 9, 5, 37
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\web-request-controller.js", "JavaScript", 28, 0, 10, 6, 44
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\storage-service.js", "JavaScript", 8, 0, 0, 0, 8
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\content-controller.js", "JavaScript", 12, 0, 3, 2, 17
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\detectors\spa-detector.js", "JavaScript", 0, 0, 3, 0, 3
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\webpack.config.cjs", "JavaScript", 0, 0, -11, 0, -11
"Total", "-", 174, 113, 34, 82, 403